Unnamed: 0,Name of the event,Date,Time,Event description,Type of event,Location (Bangalore only),Registration Link,Estimated duration,Genre,Age Limit,Language,Page Link,Poster Link,combined_text,Predicted group size,label
202,Book a Tango Trial,Sun 15 Mar 2026 - Sun 21 Jun 2026,5:55 PM,Join 𝐁𝐚𝐧𝐠𝐚𝐥𝐨𝐫𝐞 𝐓𝐚𝐧𝐠𝐨 𝐀𝐜𝐚𝐝𝐞𝐦𝐲 and immerse yourself in the world of Tango dancing.Sign up for a session in our current batch to experience the enchanting world of Tango firsthand. You can then register for upcoming batch!𝐒𝐩𝐞𝐜𝐢𝐚𝐥 𝐎𝐟𝐟𝐞𝐫:⭐️𝐄𝐧𝐫𝐨𝐥𝐥 𝐚𝐬 𝐚 𝐂𝐨𝐮𝐩𝐥𝐞 & avail special discount·        You do not require prior experience in any form of dancing·        No age limit·        Bringing a partner is NOT compulsory but recommendedRead More,DanceWorkshops,Finix Fitness Studio: Bengaluru,/events/book-a-tango-trial/ET00451478/date-time/IHHR,1 Hour,,,English,https://in.bookmyshow.com/events/book-a-tango-trial/ET00451478,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-book-a-tango-trial-0-2025-6-28-t-8-28-55.jpg,Book a Tango Trial Join 𝐁𝐚𝐧𝐠𝐚𝐥𝐨𝐫𝐞 𝐓𝐚𝐧𝐠𝐨 𝐀𝐜𝐚𝐝𝐞𝐦𝐲 and immerse yourself in the world of Tango dancing.Sign up for a session in our current batch to experience the enchanting world of Tango firsthand. You can then register for upcoming batch!𝐒𝐩𝐞𝐜𝐢𝐚𝐥 𝐎𝐟𝐟𝐞𝐫:⭐️𝐄𝐧𝐫𝐨𝐥𝐥 𝐚𝐬 𝐚 𝐂𝐨𝐮𝐩𝐥𝐞 & avail special discount·        You do not require prior experience in any form of dancing·        No age limit·        Bringing a partner is NOT compulsory but recommendedRead More DanceWorkshops nan,2,0
39,FACTS ft. Rahgir,Sat 11 Apr 2026 - Sun 3 May 2026,7:30 PM,Rahgir india tour,Club GigsMusic Shows,Samarthanam Auditorium-TheatreNama: Bengaluru,/events/facts-ft-rahgir/ET00490439/venue,2 Hours,Indie,,Hindi,https://in.bookmyshow.com/events/facts-ft-rahgir/ET00490439,https://assets-in.bmscdn.com/nmcms/desktop/media-desktop-facts-ft-rahgir-2026-3-10-t-12-20-53.jpg,FACTS ft. Rahgir Rahgir india tour Club GigsMusic Shows Indie,6,2
25,Pottery workshop ,Sun 15 Mar 2026,3:00 PM,"Get your hands in the clay and your mind in the moment!Join us for a calming, creative escape as you explore the art of hand-built pottery, no wheel required. Using simple tools and your own hands, you’ll learn traditional techniques like pinching, coiling, and shaping to craft a unique ceramic piece.Whether you`re a first-timer or simply craving a mindful experience, this workshop is all about slowing down, creating with intention, and enjoying the joy of making something real.Come join our event and dive into the world of beauty called pottery.NOTE: - Customers are required to pay an additional 300 per person at the venue, which will be redeemable as a food coupon on their orderRead More",Arts and CraftsWorkshops,"Costa Coffee, AECS Layout: Bengaluru",/events/pottery-workshop/ET00470929/venue,1 hour 30 minutes,,Age Limit - 12yrs +,"English, Hindi, Bengali, Kannada",https://in.bookmyshow.com/events/pottery-workshop/ET00470929,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-pottery-workshop-0-2025-11-14-t-3-57-20.jpg,"Pottery workshop  Get your hands in the clay and your mind in the moment!Join us for a calming, creative escape as you explore the art of hand-built pottery, no wheel required. Using simple tools and your own hands, you’ll learn traditional techniques like pinching, coiling, and shaping to craft a unique ceramic piece.Whether you`re a first-timer or simply craving a mindful experience, this workshop is all about slowing down, creating with intention, and enjoying the joy of making something real.Come join our event and dive into the world of beauty called pottery.NOTE: - Customers are required to pay an additional 300 per person at the venue, which will be redeemable as a food coupon on their orderRead More Arts and CraftsWorkshops nan",3,1
123,Miniature Pottery,Sun 15 Mar 2026 - Fri 27 Mar 2026,3:00 PM,"Step into the charming world of tiny creations at Miniature Pottery, a hands-on workshop where the art of small-scale pottery takes center stage. Perfect for curious beginners and creative souls, this experience invites you to shape, mold, and design your own mini ceramic masterpieces.Event Highlights: Miniature Wheel Pottery: Get your hands on our specially designed mini pottery wheels and enjoy the tactile joy of crafting tiny pots, vases, and vessels. It’s delicate, fun, and surprisingly addictive!All Materials Provided: We provide everything — miniature wheels, sculpting tools, and fine-quality clay. Just bring your imagination and steady fingers.Pocket-Sized Creations, Big Joy: Whether you want to make fridge magnets, dollhouse decor, or simply explore the magic of working small, this workshop is your creative escape into the whimsical world of mini pottery.Read More",Arts and CraftsWorkshops,Brik Oven: Bengaluru,/events/clay-play-day/ET00399829/venue,1 Hour,,All age groups,"English, Hindi",https://in.bookmyshow.com/events/clay-play-day/ET00399829,https://assets-in.bmscdn.com/nmcms/desktop/media-desktop-clay-play-day-2025-5-1-t-15-30-24.jpg,"Miniature Pottery Step into the charming world of tiny creations at Miniature Pottery, a hands-on workshop where the art of small-scale pottery takes center stage. Perfect for curious beginners and creative souls, this experience invites you to shape, mold, and design your own mini ceramic masterpieces.Event Highlights: Miniature Wheel Pottery: Get your hands on our specially designed mini pottery wheels and enjoy the tactile joy of crafting tiny pots, vases, and vessels. It’s delicate, fun, and surprisingly addictive!All Materials Provided: We provide everything — miniature wheels, sculpting tools, and fine-quality clay. Just bring your imagination and steady fingers.Pocket-Sized Creations, Big Joy: Whether you want to make fridge magnets, dollhouse decor, or simply explore the magic of working small, this workshop is your creative escape into the whimsical world of mini pottery.Read More Arts and CraftsWorkshops nan",3,1
200,Glow In The Dark Party,Sat 21 Mar 2026,8:00 PM,"Step into the neon and light up the night at Glow in the Dark at Fandom at Gilly’s Redefined.Get ready for a high-energy night featuring Ivan (DJ Ivan), bringing an electrifying mix of beats to keep the dance floor alive. Paired with immersive visuals by VJ Harish, this is a party designed to glow brighter after dark.Expect a full sensory experience with neon vibes, immersive lighting, and interactive experiences throughout the venue.What’s in store✨ Face painting stations🔮 Tarot reading experiences💡 LED performances🛍️ Live stalls & activations🏆 Hampers for the best dressed couplesDress CodeCome dressed in bright neon colours and glow under the lights.Bring your crew, dress to shine, and get ready for a night where the music, lights, and energy collide.Cover charge (fully redeemable) at entry. Read More",Club GigsMusic Shows,Fandom at Gilly`s Redefined: Bengaluru,/events/glow-in-the-dark-party/ET00490632/ticket/FNDM/10344,2 Hours,"Afro, EDM, Techno",Age Limit - 21yrs +,,https://in.bookmyshow.com/events/glow-in-the-dark-party/ET00490632,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-glow-in-the-dark-party-0-2026-3-8-t-8-49-52.jpg,"Glow In The Dark Party Step into the neon and light up the night at Glow in the Dark at Fandom at Gilly’s Redefined.Get ready for a high-energy night featuring Ivan (DJ Ivan), bringing an electrifying mix of beats to keep the dance floor alive. Paired with immersive visuals by VJ Harish, this is a party designed to glow brighter after dark.Expect a full sensory experience with neon vibes, immersive lighting, and interactive experiences throughout the venue.What’s in store✨ Face painting stations🔮 Tarot reading experiences💡 LED performances🛍️ Live stalls & activations🏆 Hampers for the best dressed couplesDress CodeCome dressed in bright neon colours and glow under the lights.Bring your crew, dress to shine, and get ready for a night where the music, lights, and energy collide.Cover charge (fully redeemable) at entry. Read More Club GigsMusic Shows Afro, EDM, Techno",3,1
30,SUMMER CAMP ,Wed 1 Apr 2026 - Sat 11 Apr 2026,11:00 AM,"Hobby Ghar is launching a curated series of summer classes designed to help you reconnect with the physical world through ""Sensory Minimalism"" and the art of making.Whether you’re looking to master a new craft or simply find a creative sanctuary, our workshops offer a grounded, hands-on escape from digital fatigue.The Summer LineupExplore a diverse range of sessions led by our expert Hobby Gurus. From structured logic to free-form expression, choose the path that resonates with your creative energy:Engineer’s Pottery: A technical approach to wheel-throwing and hand-building, focusing on form, function, and the physics of clay.Logic-Based Art: For the analytical mind, explore geometric abstraction and algorithmic patterns using traditional mediums.Fiber Arts & Weaving: A deep dive into texture and rhythm, focusing on the meditative quality of tactile construction.Heritage Documentation: A sketching intensive focused on capturing the soul of local architecture and culture & heritage.Why Join Our Summer Sessions?Aesthetic Excellence: Our studio environment prioritizes a clean, minimalist design language that fosters focus and calm.Collaborative Community: Engage in a model of co-creation where diverse perspectives and shared making lead to transformative experiences.Reserve Your SpotClasses run from April through May. To maintain an intimate, high-quality learning environment, seats for each workshop are strictly limited.Bring your curiosity. Leave with something made by hand.Read More",Arts and CraftsEducationWorkshops,"Hobby Ghar: Seshadripuram, Bengaluru",/events/summer-camp/ET00491040/venue,3 Hours,,All age groups,"English, Hindi, Kannada",https://in.bookmyshow.com/events/summer-camp/ET00491040,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-summer-camp-0-2026-3-11-t-9-33-48.jpg,"SUMMER CAMP  Hobby Ghar is launching a curated series of summer classes designed to help you reconnect with the physical world through ""Sensory Minimalism"" and the art of making.Whether you’re looking to master a new craft or simply find a creative sanctuary, our workshops offer a grounded, hands-on escape from digital fatigue.The Summer LineupExplore a diverse range of sessions led by our expert Hobby Gurus. From structured logic to free-form expression, choose the path that resonates with your creative energy:Engineer’s Pottery: A technical approach to wheel-throwing and hand-building, focusing on form, function, and the physics of clay.Logic-Based Art: For the analytical mind, explore geometric abstraction and algorithmic patterns using traditional mediums.Fiber Arts & Weaving: A deep dive into texture and rhythm, focusing on the meditative quality of tactile construction.Heritage Documentation: A sketching intensive focused on capturing the soul of local architecture and culture & heritage.Why Join Our Summer Sessions?Aesthetic Excellence: Our studio environment prioritizes a clean, minimalist design language that fosters focus and calm.Collaborative Community: Engage in a model of co-creation where diverse perspectives and shared making lead to transformative experiences.Reserve Your SpotClasses run from April through May. To maintain an intimate, high-quality learning environment, seats for each workshop are strictly limited.Bring your curiosity. Leave with something made by hand.Read More Arts and CraftsEducationWorkshops nan",4,1
20,The Art of Kintsugi Workshop,Sun 15 Mar 2026,,"The Art of Kintsugi Workshop – Find Beauty in Every CrackIn this one-of-a-kind hands-on workshop, you’ll work with a ceramic cup and experience the ancient Japanese art of Kintsugi, where broken pottery is repaired with golden seams, transforming cracks into symbols of beauty and strength.Participants will carefully break and then mend their ceramic cup using golden detailing techniques, learning how imperfections can be celebrated rather than hidden. This mindful, creative process goes beyond craft — it becomes a reflection on resilience, healing, and embracing life’s imperfections.By the end of the session, you’ll take home your own restored golden cup — a meaningful keepsake and reminder that what breaks can become even more beautiful.What to Expect:• Break and restore your own ceramic cup• Learn step-by-step Kintsugi repair techniques• Highlight cracks using a golden finish• Experience a relaxing, mindful, creative session• Take home your handmade Kintsugi cup✨ A soulful, creative experience perfect for art lovers, beginners, and anyone looking to slow down and create something meaningful.Read More",Arts and CraftsHome DecorWorkshops,"Big Bean Cafe, Koramangala: Bengaluru",/events/the-art-of-kintsugi-workshop/ET00486736/venue,45 Minutes,,All age groups,"Bengali, English",https://in.bookmyshow.com/events/the-art-of-kintsugi-workshop/ET00486736,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-the-art-of-kintsugi-workshop-0-2026-2-11-t-14-7-46.jpg,"The Art of Kintsugi Workshop The Art of Kintsugi Workshop – Find Beauty in Every CrackIn this one-of-a-kind hands-on workshop, you’ll work with a ceramic cup and experience the ancient Japanese art of Kintsugi, where broken pottery is repaired with golden seams, transforming cracks into symbols of beauty and strength.Participants will carefully break and then mend their ceramic cup using golden detailing techniques, learning how imperfections can be celebrated rather than hidden. This mindful, creative process goes beyond craft — it becomes a reflection on resilience, healing, and embracing life’s imperfections.By the end of the session, you’ll take home your own restored golden cup — a meaningful keepsake and reminder that what breaks can become even more beautiful.What to Expect:• Break and restore your own ceramic cup• Learn step-by-step Kintsugi repair techniques• Highlight cracks using a golden finish• Experience a relaxing, mindful, creative session• Take home your handmade Kintsugi cup✨ A soulful, creative experience perfect for art lovers, beginners, and anyone looking to slow down and create something meaningful.Read More Arts and CraftsHome DecorWorkshops nan",3,1
147,Work In Progress,Thu 26 Mar 2026,9:00 PM,"Work In ProgressGet ready to relive the golden era of rock as Work In Progress – Classic Rock takes over the stage on 26th March | 9 PM onwards.This is a night built for unapologetic rock lovers where every beat is bold, every chorus demands to be sung, and every moment pulses with raw energy. Expect powerful live performances, familiar anthems, and the unmistakable spirit of classic rock brought to life with passion and intensity.Read More",Club GigsMusic Shows,Hard Rock Cafe: Bengaluru,/events/work-in-progress/ET00487654/ticket/HRCB/14344,2 Hours,Rock,Age Limit - 21yrs +,English,https://in.bookmyshow.com/events/work-in-progress/ET00487654,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-work-in-progress-0-2026-2-17-t-9-7-1.jpg,"Work In Progress Work In ProgressGet ready to relive the golden era of rock as Work In Progress – Classic Rock takes over the stage on 26th March | 9 PM onwards.This is a night built for unapologetic rock lovers where every beat is bold, every chorus demands to be sung, and every moment pulses with raw energy. Expect powerful live performances, familiar anthems, and the unmistakable spirit of classic rock brought to life with passion and intensity.Read More Club GigsMusic Shows Rock",3,1
87,Tuesday Bollywood Night,Tue 17 Mar 2026,,"Immerse yourself with in the timeless hits of bollywood wrapped in emotion and nostalgia music that makes you pause... and feel. Let your thoughts drift with every note.The session includes one hour of jamming in which first half an hour will be marathon of songs followed by a request segment and vibing with fast numbers. The ticket fee is only for the entry, food is not mandatory. However we serve pure vegetarian food ( coastal Goa`n, continental, beverages and desserts ) À la carte which is billable.Read More",ConcertsMusic Shows,"Silaa The Garden Cafe, Malleshwaram: Bengaluru",/events/south-indian-jamming-session/ET00455714/date-time/ONSS,1 Hour,Retro,All age groups,Hindi,https://in.bookmyshow.com/events/south-indian-jamming-session/ET00455714,https://assets-in.bmscdn.com/nmcms/desktop/media-desktop-tuesday-bollywood-night-2025-7-30-t-18-25-59.jpg,"Tuesday Bollywood Night Immerse yourself with in the timeless hits of bollywood wrapped in emotion and nostalgia music that makes you pause... and feel. Let your thoughts drift with every note.The session includes one hour of jamming in which first half an hour will be marathon of songs followed by a request segment and vibing with fast numbers. The ticket fee is only for the entry, food is not mandatory. However we serve pure vegetarian food ( coastal Goa`n, continental, beverages and desserts ) À la carte which is billable.Read More ConcertsMusic Shows Retro",3,1
115,Chenille Art Workshop,Sat 21 Mar 2026 - Sat 16 May 2026,3:01 PM,"🌸 Pipe Cleaner Flowers Workshop – Bloom with Every Twist!Get ready to bend, twist, and bloom your creativity!In this cheerful and beginner-friendly workshop, you’ll learn how to create stunning and colorful flowers using soft and flexible pipe cleaners. No glue, no mess—just pure hands-on fun and imagination!✨ What You’ll Learn: – Simple techniques to twist pipe cleaners into daisies, roses, tulips & more – How to mix colors and shapes for vibrant floral designs – Fun ideas to turn your flowers into keychains, bouquets, or table decor🎨 What’s Included: – All materials provided – Guided instruction from a friendly host – A fun, crafty atmosphere—perfect for all ages!Let your imagination blossom and take home a bouquet that’ll never wilt. 💐Read More",Arts and CraftsHome DecorWorkshops,Brik Oven: Bengaluru,/events/pipe-cleaner-flowers/ET00460134/date-time/SEYY,1 Hour,,All age groups,"Bengali, English, Hindi, Kannada, Malaya...",https://in.bookmyshow.com/events/pipe-cleaner-flowers/ET00460134,https://assets-in.bmscdn.com/nmcms/desktop/media-desktop-pipe-cleaner-flowers-2025-9-2-t-5-22-54.jpg,"Chenille Art Workshop 🌸 Pipe Cleaner Flowers Workshop – Bloom with Every Twist!Get ready to bend, twist, and bloom your creativity!In this cheerful and beginner-friendly workshop, you’ll learn how to create stunning and colorful flowers using soft and flexible pipe cleaners. No glue, no mess—just pure hands-on fun and imagination!✨ What You’ll Learn: – Simple techniques to twist pipe cleaners into daisies, roses, tulips & more – How to mix colors and shapes for vibrant floral designs – Fun ideas to turn your flowers into keychains, bouquets, or table decor🎨 What’s Included: – All materials provided – Guided instruction from a friendly host – A fun, crafty atmosphere—perfect for all ages!Let your imagination blossom and take home a bouquet that’ll never wilt. 💐Read More Arts and CraftsHome DecorWorkshops nan",3,1
